,,,,,,,,,,,,,,,,,
,,,,BALANCE TOTAL,,,,,,,,,,,,,
,,VASEK 2020-2022,,OPERACIONES,,✓,X,CUOTA MEDIA,,ACIERTO,PROFIT,YIELD,,,,,
,,,,171,,159,12,"1,229",,"92,98%","2714,26%","15,87%",, ,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2020/21,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,TOTAL,,
,,,13,11,0,0,0,0,0,0,5,7,11,14,61,,
,,✓,11,11,0,0,0,0,0,0,5,6,10,14,57,,
,,X,2,0,0,0,0,0,0,0,0,1,1,0,4,,
,,PROFIT,"70,38%","333,12%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","127,99%","49,62%","151,32%","363,01%","1095,45%",,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2021/22,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,TOTAL,,
,,,10,11,14,14,13,7,0,0,0,0,12,29,110,,
,,✓,9,10,13,14,13,5,0,0,0,0,12,26,102,,
,,X,1,1,1,0,0,2,0,0,0,0,0,3,8,,
,,PROFIT,"101,48%","142,83%","186,46%","373,94%","317,47%","-102,34%","0,00%","0,00%","0,00%","0,00%","238,33%","360,63%","1618,81%",,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,HISTORIAL DE OPERACIONES,,,,,,,,,,,,,,,,
,DÍA,MES,LIGA,PARTIDO,,LIVE,MIN,PICK,,CUOTA,CROSSOVER,,MIN,MARK,PROFIT,,W - L
,13,septiembre 2020,WNBA,Atlanta - Washington,,8 - 5,2',Washington,,"1,57","1,19",,10',22 - 27,"20,3%",,✓
,20,septiembre 2020,Lituania,Lietkabelis - Prienai,,17 - 26,9',Lietkabelis,,"1,55","1,05",,26',66 - 59,"30,7%",,✓
,20,septiembre 2020,España,Barcelona - Burgos,,11 - 21,8',Barcelona,,"1,38","1,04",,27',65 - 59,"23,4%",,✓
,27,septiembre 2020,España,Guipuzkoa - Burgos,,29 - 18,8',Burgos,,"1,61","1,16",,21',42 - 45,"24,1%",,✓
,28,septiembre 2020,VTB,Enisey - Khimki,,31 - 22,13',Khimki,,"1,67","1,12",,23',49 - 55,"29,4%",,✓
,9,octubre 2020,Euroliga,Milano - Lyon,,9 - 11,6',Milano,,"1,51","1,05",,12',29 - 19,"29,0%",,✓
,17,octubre 2020,Lituania,Lietkabelis - Siauliai,,19 - 20,11',Lietkabelis,,"1,47","1,03",,15',35 - 25,"28,8%",,✓
,19,octubre 2020,VTB,Khimki - Astana,,45 - 49,20',Khimki,,"1,50",,,,88 - 89,-100%,,X
,25,octubre 2020,Italia,F. Bolonia - Milano,,39 - 38,18',Milano,,"1,53","1,11",,22',44 - 49,"24,7%",,✓
,26,octubre 2020,Francia,Levallois - Limoges,,54 - 52,27',Levallois,,"1,52","1,09",,32',68 - 61,"26,0%",,✓
,30,octubre 2020,Euoliga,Olympiacos - Anadolu,,38 - 44,20',Anadolu,,"1,52","1,18",,25',50 - 58,"18,7%",,✓
,31,octubre 2020,Turquía,Tofas - Fenerbahce,,0 - 0,0',Fenerbahce,,"1,53","1,14",,21',51 - 55,"22,4%",,✓
,1,noviembre 2020,España,Barcelona - Tenerife,,12 - 15,6',Barcelona,,"1,52","1,12",,13',30 - 24,"23,5%",,✓
,1,noviembre 2020,España,Canaria - Baskonia,,23 - 19,10',Baskonia,,"1,60","1,08",,29',46 - 53,"30,1%",,✓
,4,noviembre 2020,Argentina,Quimsa - La Unión,,60 - 59,29',Quimsa,,"1,62","1,07",,35',75 - 68,"31,7%",,✓
,7,noviembre 2020,Turquía,Fethiye - Anadolu,,61 - 54,24',Anadolu,,"1,76","1,11",,36',80 - 85,"33,3%",,✓
,11,noviembre 2020,Champions,Zaragoza - Nizhny,,25 - 28,13',Zaragoza,,"1,55","1,15",,27',50 - 48,"22,4%",,✓
,15,noviembre 2020,España,Baskonia - Obradoiro,,29 - 33,18',Baskonia,,"1,43","1,10",,28',56 - 52,"21,0%",,✓
,20,noviembre 2020,Polonia,Legia - GTK,,13 - 11,7',Legia,,"1,50","1,09",,29',72 - 65,"25,1%",,✓
,21,noviembre 2020,ABA,Split - Mornar,,0 - 0,0',Mornar Bar,,"1,51","1,27",,21',50 - 51,"12,5%",,✓
,21,noviembre 2020,Rep Checa,Decin - Opava,,15 - 12,5',Opava,,"1,53","1,04",,28',47 - 56,"30,8%",,✓
,21,noviembre 2020,Israel,Rishon - Herzeliya,,10 - 14,6',Rishon,,"1,48","1,13",,28',66 - 60,"20,9%",,✓
,27,noviembre 2020,Euroliga,Lyon - Barcelona,,31 - 23,13',Barcelona,,"1,59",,,,80 - 68,"-100,0%",,X
,5,diciembre 2020,España,Badalona - Zaragoza,,39 - 44,HT,Badalona,,"1,78","1,17",,22',50 - 44,"29,3%",,✓
,8,diciembre 2020,Euroliga,Barcelona - Olympiacos,,0 - 12,2',Barcelona,,"1,63","1,31",,33',71 - 74,"15,0%",,✓
,12,diciembre 2020,Rep Checa,Opava - Kolin,,24 - 28,14',Opava,,"1,45","1,09",,19',35 - 30,"22,8%",,✓
,13,diciembre 2020,Chipre,Paralimni - AEL,,24 - 25,15',Paralimni,,"1,51","1,07",,32',59 - 52,"27,2%",,✓
,13,diciembre 2020,España,Obradoiro - Barcelona,,31 - 24,14',Barcelona,,"1,53","1,05",,26',47 - 54,"29,9%",,✓
,17,diciembre 2020,China F,Beijing - Wuhan,,49 - 47,30',Beijing,,"1,41",,,,67 - 62,"41,0%",,✓
,19,diciembre 2020,Hungría F,UNI Gyor - Ujbuda,,32 - 36,16',UNI Gyor,,"1,37","1,02",,23',55 - 49,"25,0%",,✓
,20,diciembre 2020,ABA,Mornar Bar - FMP,,20 - 22,11',Mornar Bar,,"1,41","1,07",,18',41 - 35,"22,5%",,✓
,20,diciembre 2020,Italia,Milano - Sassari,,43 - 41,17',Milano,,"1,45","1,06",,32',87 - 79,"25,4%",,✓
,26,diciembre 2020,Francia,Boulazac - Monaco,,14 - 13,9',Monaco,,"1,35","1,05",,14',19 - 27,"21,2%",,✓
,26,diciembre 2020,Israel,M. Tel Aviv - H. Holon,,18 - 31,11',Maccabi Tel Aviv,,"1,91","1,28",,28',60 - 61,"25,8%",,✓
,27,diciembre 2020,Italia,F. Bolonia - R. Venezia,,5 - 6,4',Reyer Venezia,,"1,55","1,07",,29',47 - 53,"28,9%",,✓
,28,diciembre 2020,VTB,Nizhny - Kalev,,44 - 45,HT,Nizhny,,"1,36","1,02",,25',62 - 53,"25,0%",,✓
,29,diciembre 2020,España,Burgos - Bilbao,,11 - 18,7',Burgos,,"1,57","1,14",,19',49 - 42,"24,0%",,✓
,2,enero 2021,Alemania,Ulm - Bonn,,11 - 21,9',Ulm,,"1,78","1,12",,22',42 - 41,"33,1%",,✓
,7,enero 2021,Rep Checa,Opava - Decin,,2 - 11,3',Opava,,"1,47","1,07",,12',31 - 23,"25,4%",,✓
,10,enero 2021,Portugal F,Guifoes - Benfica,,21 - 18,10',Benfica,,"1,30",,,,69 - 67,-100%,,X
,17,enero 2021,España F,Pastor - Movistar,,17 - 10,7',Movistar,,"1,56","1,09",,23',38 - 46,"28,1%",,✓
,17,enero 2021,Francia,Chalon - Lyon,,28 - 25,13',Lyon,,"1,43",,,,85 - 75,-100%,,X
,23,enero 2021,Grecia,AEK - Ionikos,,33 - 37,HT,AEK Atenas,,"1,33","1,07",,23',66 - 61,"18,3%",,✓
,23,enero 2021,Italia,V. Bolonia - Brescia,,22 - 28,14',V. Bolonia,,"1,52","1,03",,25',61 - 52,"31,3%",,✓
,24,enero 2021,Polonia F,GTK Gdynia - Bydgosz,,56 - 52,25',Bydgosz,,"1,34","1,02",,32',68 - 76,"23,4%",,✓
,30,enero 2021,VTB,Tsmoki Minsk - Unics Kazan,,28 - 24,12',Unics Kazan,,"1,41","1,09",,20',36 - 41,"21,2%",,✓
,30,enero 2021,Italia,Cremona - V. Bolonia,,27 - 25,13',V. Bolonia,,"1,48","1,12",,16',29 - 37,"21,7%",,✓
,30,enero 2021,Alemania,Ludwigsburg - Giessen,,15 - 25,8',Ludwigsburg,,"1,36","1,04",,14',40 - 32,"22,6%",,✓
,31,enero 2021,Alemania,Alba Berlín - Vechta,,17 - 28,10',Alba Berlín,,"1,45","1,09",,21',50 - 46,"22,8%",,✓
,31,enero 2021,Inglaterra,Leicester - Surrey,,16 - 22,8',Leicester,,"1,41","1,07",,15',41 - 33,"22,4%",,✓
